currency,currencyLabel,shortName,price,year,unitLabel,unitSymbol
http://www.wikidata.org/entity/Q186794,Ботсванская пула,,0.092282,2016,доллар США,P
http://www.wikidata.org/entity/Q188289,пакистанская рупия,,0.009542,2016,доллар США,₨
http://www.wikidata.org/entity/Q188289,пакистанская рупия,,0.0058641,2020,евро,₨
http://www.wikidata.org/entity/Q188608,иранский риал,,0.000031,2016,доллар США,﷼
http://www.wikidata.org/entity/Q188608,иранский риал,,0.000031,2016,доллар США,﷼
http://www.wikidata.org/entity/Q188608,иранский риал,,0.000031,2016,доллар США,﷼
http://www.wikidata.org/entity/Q190699,ливийский динар,,0.61786,2020,евро,LD
http://www.wikidata.org/entity/Q190951,сингапурский доллар,,0.66845,2020,евро,S$
http://www.wikidata.org/entity/Q192090,вьетнамский донг,,0.000037641,2019,евро,₫
http://www.wikidata.org/entity/Q193094,иракский динар,,0.00068,2022,доллар США,د.ع
http://www.wikidata.org/entity/Q193094,иракский динар,,0.00068,2022,доллар США,ID
http://www.wikidata.org/entity/Q1003344,индокитайский пиастр,,5.37,1885,французский франк,ICFP
http://www.wikidata.org/entity/Q1003344,индокитайский пиастр,,5.37,1885,французский франк,$
http://www.wikidata.org/entity/Q1072248,Франк Руанды и Бурунди,,1,1960,конголезский франк,F
http://www.wikidata.org/entity/Q1104069,канадский доллар,CA$,0.685,2020,евро,C$
http://www.wikidata.org/entity/Q1104069,канадский доллар,CA$,0.703,2020,доллар США,C$
http://www.wikidata.org/entity/Q1104069,канадский доллар,CA$,0.685,2020,евро,CAD$
http://www.wikidata.org/entity/Q1104069,канадский доллар,CA$,0.703,2020,доллар США,CAD$
http://www.wikidata.org/entity/Q1104069,канадский доллар,CA$,0.685,2020,евро,C$
http://www.wikidata.org/entity/Q1104069,канадский доллар,CA$,0.703,2020,доллар США,C$
http://www.wikidata.org/entity/Q1104069,канадский доллар,CA$,0.685,2020,евро,¢
http://www.wikidata.org/entity/Q1104069,канадский доллар,CA$,0.703,2020,доллар США,¢
http://www.wikidata.org/entity/Q1104069,канадский доллар,CA$,0.685,2020,евро,$
http://www.wikidata.org/entity/Q1104069,канадский доллар,CA$,0.703,2020,доллар США,$
http://www.wikidata.org/entity/Q1275499,восточноафриканский шиллинг,,1,1950,Сомало,
http://www.wikidata.org/entity/Q1275499,восточноафриканский шиллинг,,0.5,1945,эфиопский быр,
http://www.wikidata.org/entity/Q1354928,Эритрейский талер,,5,1890,итальянская лира,
http://www.wikidata.org/entity/Q1403484,Папский скудо,,5.32,1861,итальянская лира,
http://www.wikidata.org/entity/Q1472704,новозеландский доллар,,0.7153,2016,доллар США,NZ$
http://www.wikidata.org/entity/Q1472704,новозеландский доллар,,0.585,2020,евро,NZ$
http://www.wikidata.org/entity/Q1852872,Новогебридский франк,,0.0269,1979,немецкая марка,
http://www.wikidata.org/entity/Q17193,филиппинское песо,,0.017916,2020,евро,₱
http://www.wikidata.org/entity/Q17193,филиппинское песо,,0.01617,2023,евро,₱
http://www.wikidata.org/entity/Q17193,филиппинское песо,,0.020086,2016,доллар США,₱
http://www.wikidata.org/entity/Q17193,филиппинское песо,,0.01774,2023,доллар США,₱
http://www.wikidata.org/entity/Q4916,евро,euro,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,euro,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,ewro,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,eiro,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,euras,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,euró,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,euro,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,euro,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,ευρώ,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,евро,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,euro,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,euro,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,euro,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,Euro,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,euro,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,euro,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,euro,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q4916,евро,euro,1.1634,2026,доллар США,€
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.0086,2020,евро,¥
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.0091,2020,швейцарский франк,¥
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.013,2020,канадский доллар,¥
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.0101948230688456,2018,Международный доллар,¥
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.0067485633,2024,доллар США,¥
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.0075,2020,фунт стерлингов,¥
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.0094,2020,доллар США,¥
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.097,2020,норвежская крона,¥
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.092,2020,шведская крона,¥
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.064,2020,датская крона,¥
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,11.45,2020,южнокорейская вона,¥
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.015,2020,австралийский доллар,¥
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.0086,2020,евро,円
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.0091,2020,швейцарский франк,円
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.013,2020,канадский доллар,円
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.0101948230688456,2018,Международный доллар,円
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.0067485633,2024,доллар США,円
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.0075,2020,фунт стерлингов,円
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.0094,2020,доллар США,円
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.097,2020,норвежская крона,円
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.092,2020,шведская крона,円
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.064,2020,датская крона,円
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,11.45,2020,южнокорейская вона,円
http://www.wikidata.org/entity/Q8146,японская иена,JP¥,0.015,2020,австралийский доллар,円
http://www.wikidata.org/entity/Q17193,филиппинское песо,,0.0149776,2025,евро,₱
http://www.wikidata.org/entity/Q17193,филиппинское песо,,0.0174654,2025,доллар США,₱
http://www.wikidata.org/entity/Q25224,фунт стерлингов,GBP (£),1.4746,2015,доллар США,£
http://www.wikidata.org/entity/Q25224,фунт стерлингов,GBP (£),1.2763,2019,доллар США,£
http://www.wikidata.org/entity/Q25224,фунт стерлингов,GBP (£),1.18,2020,евро,£
http://www.wikidata.org/entity/Q25224,фунт стерлингов,GBP (£),1.246643,2023,доллар США,£
http://www.wikidata.org/entity/Q25224,фунт стерлингов,GBP (£),1.180998,2023,евро,£
http://www.wikidata.org/entity/Q25344,швейцарский франк,,1.0774,2026,евро,Fr
http://www.wikidata.org/entity/Q25344,швейцарский франк,,0.8012,2026,доллар США,Fr
http://www.wikidata.org/entity/Q25344,швейцарский франк,,1,2018,доллар США,Fr
http://www.wikidata.org/entity/Q25344,швейцарский франк,,1.02,2018,доллар США,Fr
http://www.wikidata.org/entity/Q25344,швейцарский франк,,0.9341,2020,евро,Fr
http://www.wikidata.org/entity/Q25417,датская крона,DKK,0.14216,2016,доллар США,kr
http://www.wikidata.org/entity/Q25417,датская крона,DKK,0.13404,2018,евро,kr
http://www.wikidata.org/entity/Q25417,датская крона,DKK,0.14216,2016,доллар США,kr
http://www.wikidata.org/entity/Q25417,датская крона,DKK,0.13404,2018,евро,kr
